customer_unique_id,cluster,recency,frequency,monetary,freight_value,shipping_time,churn_risk_score
0055b522bc89cbfbf376d8b59a628470,At Risk,543,1,328.0,36.75,12.0,1.0
0036b4a3d09ad551a5188c2e374da402,At Risk,384,1,148.0,14.77,6.0,1.0
0036a074f98b80c4f1fc33dbbcf9c552,At Risk,474,1,16.99,25.63,14.0,1.0
0032c76b20340da25249092a268ce66c,At Risk,692,1,128.9,16.04,26.0,1.0
00324c9f4d710e7bac5c5ba679714430,At Risk,433,1,29.9,79.88,12.0,1.0
002eb8b96288f3804e21d2777ac29895,At Risk,403,1,119.9,18.09,12.0,1.0
002d71b244beb91ca7030b15ab526446,At Risk,463,1,115.0,15.56,9.0,1.0
002b4cd83fabaffaa475f78ea5ef3e08,At Risk,574,1,49.9,14.52,8.0,1.0
0049db44bfd6cee26ac9c649329ff6ea,At Risk,540,1,80.0,14.52,13.0,1.0
0049dadc30da6a277c1e9d371df5a66f,At Risk,441,1,9.9,16.11,21.0,1.0
007953b3182d5ccc9189a694f5c68163,At Risk,500,1,99.99,12.09,24.0,1.0
0076a71311bb2386a353f5ba87d2aa29,At Risk,396,1,44.9,25.63,13.0,1.0
00765d375af0e700f61c57db00a8ee63,At Risk,383,1,200.0,15.01,6.0,1.0
00704e915ae0d4a236eace0267454cf9,At Risk,393,1,108.9,14.49,9.0,1.0
006d763076d74d16d66e828e79ec1544,At Risk,389,1,79.9,19.42,9.0,1.0
ffd44de1326179fff550dae07c6884c2,At Risk,456,1,111.9,9.6,2.0,1.0
0043d65f8039b4a4d43bc7b0f450ac2c,At Risk,496,1,49.9,14.52,8.0,1.0
003e28cb6fab8a0901bff9229612375f,At Risk,534,1,119.99,17.27,3.0,1.0
0037eb1ff742ee2e71ba887f65f3c6f3,At Risk,412,1,199.0,29.79,13.0,1.0
0037d2bbb9ebc39d9114aea27ee16d72,At Risk,520,1,119.9,23.83,8.0,1.0
ffcdafd7d9f69caf44c3aa1ff78c32b4,At Risk,396,1,71.82,17.75,20.0,1.0
ffc9d8a98ebd09a78c8adb729c3cfa2a,At Risk,379,1,59.9,17.67,35.0,1.0
ffc04aafbf624bd130516cc1d195626a,At Risk,381,1,10.0,7.78,3.0,1.0
ffbf790cac0b6cf2e411d9f158c0fbe2,At Risk,445,1,100.33,34.5,17.0,1.0
ffbeaf37b7b79aaf8247735905f0863d,At Risk,406,1,54.0,16.82,7.0,1.0
00941614a654458b888b8780815bd26c,At Risk,518,1,174.0,11.83,13.0,1.0
0093c499f4f9c0e169ead490aa62ce3e,At Risk,442,1,210.0,16.22,13.0,1.0
009301957bc7714394865c44650d8060,At Risk,432,1,84.99,8.79,9.0,1.0
009210a1646725341917560a13f7799f,At Risk,392,1,10.75,15.1,14.0,1.0
008fb2ecc75561d202dd4db2e0ceec25,At Risk,454,1,32.99,7.78,8.0,1.0
008f3d5f45a11059239a5c452cd00006,At Risk,580,1,309.9,26.66,19.0,1.0
00522457bba00bba576a34fd9b4808fd,At Risk,515,1,103.97,24.01,9.0,1.0
004ed862ea4e55f18868d3d782d10879,At Risk,387,1,94.9,14.39,4.0,1.0
96203e330958f1908308a1463243fddd,At Risk,537,1,66.99,17.21,10.0,1.0
961c63d31987fe328f1f88c1208efc7b,At Risk,567,1,27.9,14.52,8.0,1.0
961be53c93407b4cddab85a80467ba6d,At Risk,493,1,669.0,20.38,16.0,1.0
96189ba2e196ee0dca8a0513ecb9a39f,At Risk,515,1,99.0,16.39,19.0,1.0
96132ad82d42065fe83745227c96f313,At Risk,418,1,269.70000000000005,29.03,7.0,1.0
cf610925bd45af239ede46b4508a1a71,At Risk,527,1,198.9,15.56,7.0,1.0
cf5e6a37d7ffef60af859e8025b3112d,At Risk,509,1,29.0,14.52,10.0,1.0
cf5c7635240dca5beb6f7e5e7d9a08d6,At Risk,382,1,129.34,16.54,11.0,1.0
cf59b7d848feec2e709f49a6c7166369,At Risk,385,1,199.99,12.6,6.0,1.0
cf599c402191f7bc8cd6d9f93733154b,At Risk,417,1,116.6,32.34,19.0,1.0
cf587ddafc6594d449e7c643883a7aab,At Risk,488,1,59.9,14.59,11.0,1.0
cf56b4f0078ec2abb06a7c95c1cb2d1e,At Risk,407,1,89.9,12.13,11.0,1.0
cf512cfdf59fee3876844764595d3fff,At Risk,542,1,40.0,14.52,14.0,1.0
cf4e26095eea9699bdad6b03aba5d64a,At Risk,504,1,18.95,24.35,9.0,1.0
cf4730e3a8a57d6025bea785c2b3e91e,At Risk,430,1,52.5,17.94,11.0,1.0
96346a46813536075221b2b977b336e6,At Risk,563,1,79.5,15.77,16.0,1.0
0087eede471173af78d789df249c3a45,At Risk,558,1,126.99,24.12,13.0,1.0
008778a1591d49f6b2464dffaa4fa662,At Risk,405,1,249.99,10.56,2.0,1.0
00842c7d0cedb9e1edad8e9b7d148f09,At Risk,510,1,35.0,29.55,30.0,1.0
00a7d14cb10e11b7f7d65120a7e3942f,At Risk,504,1,49.9,14.52,7.0,1.0
00a6ee75a90222405df9d8d59babc513,At Risk,418,1,25.9,34.15,17.0,1.0
00a218ea82c458456098caa1c4a7e796,At Risk,546,1,49.9,17.09,14.0,1.0
009e70fcdd4ea3769c73210414e73c64,At Risk,436,1,32.9,16.79,24.0,1.0
0098f4847541cc7d676f9a5efc64c0f0,At Risk,498,1,129.9,17.65,8.0,1.0
0096c9cb600a08e601f7c2be6734531a,At Risk,397,1,169.0,17.92,10.0,1.0
0096c18412349537abc45e350581cbbc,At Risk,532,1,679.6,22.66,7.0,1.0
009671b5dc80cdf32aeb5850868ba81c,At Risk,434,1,62.99,47.73,14.0,1.0
ffbb8dfaa0e54649d8690b85a3ef890d,At Risk,436,1,16.99,12.48,7.0,1.0
ffbb866d7c0d272f9fe12de1b9ee9173,At Risk,489,1,59.0,22.96,16.0,1.0
ffa46fd1f769dfbdd6c039550b420949,At Risk,558,1,79.9,15.77,28.0,1.0
ffa17ff63f95ea3c838670e61d2666e0,At Risk,533,1,69.5,14.66,7.0,1.0
00ba737b18a7996f68cb8a99556bedd4,At Risk,413,1,112.80000000000001,14.17,19.0,1.0
00b72937dcd829c0d8ca72ec77cd073c,At Risk,439,1,120.0,8.59,6.0,1.0
c0e3fb019e82c119e210fede624d5aa6,At Risk,540,1,49.8,8.72,10.0,1.0
c0e34eb3758ff52f422e985899707a00,At Risk,526,1,126.99,37.85,10.0,1.0
c0e0c6e5b85080dbdf3f021b55edbb3e,At Risk,521,1,35.98,10.96,5.0,1.0
c0dda51f32fc550867fd99ec415f6b04,At Risk,519,1,89.9,15.84,9.0,1.0
c0dbd98158e7f30aecac98b3b0d78c18,At Risk,496,1,15.32,10.96,7.0,1.0
c0db9d178b216ab153fcf56d6382f735,At Risk,389,1,84.99,14.34,8.0,1.0
c0d92a438444210aca3c5c2bd510d8cc,At Risk,397,1,59.9,17.67,17.0,1.0
00ad5165112e0e9a91a23b1132716584,At Risk,519,1,79.9,20.64,2.0,1.0
00ac9cd5c4ad19e16e7c6f6864711737,At Risk,488,1,209.9,21.55,11.0,1.0
00cd767526517f8a4fc27db6cc5a52fa,At Risk,428,1,79.9,15.31,9.0,1.0
00cc8551c0621bc65a440e836bb652d7,At Risk,523,1,79.9,15.32,6.0,1.0
00cc7c54469f4177319d6bb12e883652,At Risk,498,1,157.9,30.04,28.0,1.0
00cc12a6d8b578b8ebd21ea4e2ae8b27,Champions,525,2,99.80000000000001,13.2,5.5,1.0
00c3624c55261d9ce593f30e3815a880,At Risk,529,1,380.0,17.03,20.0,1.0
00c003ed13c76042b78d53fbc26930d0,At Risk,530,1,179.99,24.25,11.0,1.0
ff9ff869636c26565ded16038be5fa7d,At Risk,465,1,269.70000000000005,21.28,4.0,1.0
ffba9f9dff87b05e310ecc46c8591044,High Value,547,1,1591.2,35.63,15.0,1.0
ffb973f2bb1c0cb807a99341a9b20dcd,At Risk,688,1,87.3,10.86,4.0,1.0
ffafb9f09293653c2486abe52e5e05a4,At Risk,523,1,99.99,15.91,10.0,1.0
ffaa5b5559566bb4dbf71d554310e760,At Risk,480,1,94.99,20.74,23.0,1.0
ffa8c46ffe06ca740ae232f5966c5a01,At Risk,408,1,16.9,17.63,14.0,1.0
c0c0c50de0f9c7089f7de06b69577afc,At Risk,537,1,23.9,10.96,5.0,1.0
c0bf7ba938c47c5b3df62b97d17d8c0b,At Risk,525,1,109.99,17.51,15.0,1.0
ff9e11d25bd3a13105fbf416eee813c5,At Risk,441,1,155.0,16.85,14.0,1.0
ff9c5dff16d7d6bfefc2acf5088d7b90,At Risk,389,1,59.9,13.44,17.0,1.0
ff9bc66daa6702543b16f3c4897e300b,At Risk,541,1,89.0,8.99,1.0,1.0
ff9b12e78f7c6c8ad5327b63374c370c,At Risk,473,1,14.9,11.85,7.0,1.0
ff983093f2d26e43569f7d58782faffb,At Risk,406,1,59.0,15.16,7.0,1.0
ff959aedd362b48bb97c0abeb0b36b62,At Risk,518,1,66.99,24.67,19.0,1.0
ff95640b1b541ba71eaa077fd1853ca0,At Risk,390,1,49.9,11.85,7.0,1.0
00b0595d2b0f0b838edb7fbc749ea644,At Risk,396,1,120.0,18.41,12.0,1.0
9634506e629708834ecc42acc3c90019,At Risk,496,1,23.9,10.96,7.0,1.0
962eb5247d3a72d130fdc9d128ef947d,At Risk,395,1,69.9,13.51,6.0,1.0
95ee93ba24b431926b282590f4341d6a,At Risk,430,1,103.99,22.6,8.0,1.0
95ebae49ad8c37779ee72d5acacdb679,At Risk,390,1,87.96,17.6,11.0,1.0
95e70fa5b9014a6a718b63350260356c,At Risk,689,1,134.9,16.09,30.0,1.0
960e9ac92cbcdab493d8d46bf93ef3fa,At Risk,379,1,36.9,12.69,3.0,1.0
960c60e7ac1870b12902f5685d7cce08,At Risk,587,1,199.9,19.99,8.0,1.0
96070e4ed2e1b29611b06c697340c839,At Risk,488,1,59.9,24.91,24.0,1.0
9606af90e4f6f677e5f2469b5b2d3e7d,At Risk,481,1,98.0,21.14,11.0,1.0
9604d31037ee48ed10aaab749468283e,At Risk,455,1,15.99,14.1,6.0,1.0
9604ad6bef6a84284184b9f63e9e74b8,At Risk,491,1,68.9,14.65,12.0,1.0
9602d2d1dc95f90ce1bcab740769389c,At Risk,450,1,105.99,21.23,21.0,1.0
95de6cd75d82c25e5463531f370aa2a2,At Risk,420,1,44.99,11.85,7.0,1.0
00d03b5e33f8987549c5590313a4ef21,At Risk,438,1,19.99,15.1,12.0,1.0
0103751df12aea8b962cfbcd2b61104c,At Risk,459,1,19.9,15.1,18.0,1.0
01029c2615eacab8d39f0450e6b0bef3,At Risk,390,1,205.0,22.27,18.0,1.0
00ecc71175078e2cac5547a5656e9622,At Risk,444,1,219.99,15.14,9.0,1.0
00eca7e1c994897d0a31bf75478f4b55,At Risk,542,1,327.98,22.62,8.0,1.0
00e707efa5ad9f0e6bcaeeb87910693b,At Risk,499,1,23.9,10.96,3.0,1.0
c0a2e2e17f16e2d424667e45e501c39f,At Risk,389,1,259.98,117.44,16.0,1.0
c0c85f4c42fd98c6b5669dbc85a77bf2,At Risk,475,1,124.9,21.36,8.0,1.0
c0c66ac65f8a221060ea85ccfa62dc00,At Risk,417,1,89.9,17.07,13.0,1.0
c0c2dd9abc68c6aec1964614257ccd0e,At Risk,464,1,18.9,25.63,9.0,1.0
c0c29e87d30c3ee58d202b1d8776f227,At Risk,408,1,128.56,18.15,15.0,1.0
ff8d27e48d6492ebb97e3052142c47bf,At Risk,507,1,277.85,17.15,9.0,1.0
ff8b95898b5d2ce400ce59b28c40bfbc,At Risk,593,1,323.1,21.58,32.0,1.0
ff88dcb0fdf8854d0eadfa10ea548aa2,At Risk,492,1,179.96,65.49,21.0,1.0
ff86fefe11696b1e957173516339bcd8,At Risk,484,1,10.99,10.96,14.0,1.0
ff8557b296729eaa30f078d974c86812,At Risk,688,1,79.99,18.84,17.0,1.0
ff84c3cbb72d9419e3f76a6029f6f07d,At Risk,412,1,299.9,41.43,12.0,1.0
0116f610fa1418cda75e0d96e1639a03,At Risk,407,1,25.9,7.78,7.0,1.0
011509f63f565e822767bfb89c3cf9b7,At Risk,477,1,26.69,42.38,15.0,1.0
00dd4390a8e8ad7a126e8331decc49ce,At Risk,475,1,94.9,14.41,5.0,1.0
00db525fd8d4023dc446f0ed2519139f,At Risk,399,1,195.3,17.13,12.0,1.0
00d7e54ab8c5d9916f19209dbaacbb3d,At Risk,424,1,56.0,36.05,9.0,1.0
00d474cea9ceb88b7175d564b081dfa3,At Risk,440,1,99.95,15.45,8.0,1.0
c0ab0c71f36879a7e904700157a6d88c,Champions,496,2,143.8,12.98,22.5,1.0
010bcf93b3363ccf249034e7250266f0,At Risk,382,1,79.9,34.36,21.0,1.0
01051cf3719a23faec8b2307b369faeb,At Risk,458,1,129.8,18.16,12.0,1.0
0104d8ef04b9df2891e69bc0e2e6dca4,At Risk,502,1,430.0,45.47,21.0,1.0
012e12f54f6e73b1faba89a119dab849,At Risk,576,1,87.74,18.0,9.0,1.0
012b8001e47392df808a454083a74b74,At Risk,565,1,65.6,16.619999999999997,10.0,1.0
012510db7f0db8481f8a3708400c8db9,At Risk,546,1,99.99,17.54,12.0,1.0
0124721bc33e0aa6772b42d4ccfd01db,At Risk,441,1,84.99,15.34,24.0,1.0
ff8fdc7d6c09d56d08644a873fc70fca,At Risk,400,1,39.9,8.11,3.0,1.0
ff8d5a4820b9e8b59cdbc2f6102e64e4,At Risk,436,1,239.2,38.36,21.0,1.0
95db44cac4c263525cfb83f5b65a4f15,At Risk,546,1,389.9,16.97,13.0,1.0
95d6b4d8eea3ab664eed8fd1bfb5635b,At Risk,433,1,349.0,18.2,13.0,1.0
95d47153b9bc4d0fe3b9c714c4b19c3b,Champions,390,2,83.91,15.149999999999999,10.0,1.0
95d1f6f4425e77caf5dfe0329939a7d8,At Risk,398,1,159.94,38.96,12.0,1.0
95f6791a1ec23d95cd3a3103aa63b2f0,At Risk,546,1,199.8,13.28,25.0,1.0
95f4669597b88e30179bec5da526e576,At Risk,456,1,58.8,25.69,20.0,1.0
95f270e7d1d60bde8031dc0c058558e0,At Risk,526,1,30.0,10.96,10.0,1.0
95efa3477de9d5ee6bcacfb42a618488,At Risk,487,1,44.35,17.09,12.0,1.0
95c47b016360d9186ca9138abb0e080d,At Risk,691,1,32.9,14.52,10.0,1.0
95be078ecc649f1dbf4d35bd9fd96618,At Risk,445,1,179.9,16.7,14.0,1.0
95bb57e73f679f271250fd46ce6597c4,At Risk,381,1,119.8,11.73,5.0,1.0
95ba0c810391b873c01fe2a32b7cc858,At Risk,519,1,33.99,8.72,7.0,1.0
01376b24e146a15f52ca8382af02fe62,At Risk,417,1,69.9,20.98,11.0,1.0
c08c30ecbdcddf7c2d529a244a5df3b7,At Risk,395,1,103.99,21.22,9.0,1.0
c08b8ed7b875cb005a7a17765f4ffa40,At Risk,450,1,199.99,16.15,14.0,1.0
c08a07cde4be8191214bc4ad34aad841,At Risk,396,1,134.9,21.43,11.0,1.0
c08a021fcc80119586d4349986adc75e,At Risk,507,1,219.99,19.82,11.0,1.0
c087e490266509059177cb1ec7d802ba,At Risk,545,1,69.9,11.1,11.0,1.0
c082f4437360e3466068035e94a3345b,At Risk,423,1,139.9,16.74,9.0,1.0
c0b64e84c7ec378cd26a904ce0f29764,At Risk,574,1,45.9,10.96,13.0,1.0
c0b4a8c9214f65b74b36761703196dc0,At Risk,439,1,99.88,16.46,11.0,1.0
ff73dbd0440a0f1fac45e49efd6398b4,At Risk,404,1,19.99,7.78,5.0,1.0
ff70aa1b53f643263ead50eed3166164,At Risk,469,1,39.9,11.85,5.0,1.0
ff7014eeb94589da99e822e2618090fa,At Risk,515,1,54.9,17.81,19.0,1.0
ff6eae41d4cbdc5af3844a39a89431e6,At Risk,489,1,129.99,13.49,8.0,1.0
011fd4914a2d19b2a0e50c29cea5c6a2,At Risk,479,1,229.99,31.91,8.0,1.0
011c3e6b4b11fa8a326a39e78deb6e66,At Risk,539,1,7.87,10.96,6.0,1.0
011875f0176909c5cf0b14a9138bb691,High Value,528,1,3999.9,17.01,5.0,1.0
01469c41b00bb21cd01d2104b8e81384,At Risk,563,1,89.9,21.11,11.0,1.0
0139884762afa50d78fe480646fe92b5,At Risk,483,1,49.99,20.8,22.0,1.0
95b9cc03c38543424739337e55600069,At Risk,498,1,49.95,17.78,17.0,1.0
95b903120174e73b65af44e941ade781,At Risk,467,1,347.42,30.83,12.0,1.0
95e1c50b5d8c0a5f8690923beb7edc9d,At Risk,529,1,159.0,17.26,10.0,1.0
95e020622a0ed4ede2bd25f8f5780ac0,At Risk,482,1,104.9,17.47,11.0,1.0
95dfc7f1e187969d960313a3a0964705,At Risk,486,1,39.9,10.96,4.0,1.0
962d26025128e8e5ca4406d754e5c25f,At Risk,465,1,42.99,14.1,8.0,1.0
962ac7d07a0662bc22cc78bf82176ffa,At Risk,529,1,198.95,26.89,10.0,1.0
962788752868b9b9b107fee49034fba0,At Risk,519,1,61.6,17.86,3.0,1.0
9625dbb5638f8509d01ce8a4e5708395,At Risk,543,1,72.9,11.12,10.0,1.0
965686dfaa71f02b313f06a18f8d5989,At Risk,442,1,143.97,22.67,17.0,1.0
964f3820c7712d35e342ef94a2ec914c,At Risk,452,1,119.2,36.15,38.0,1.0
964930a4e1594ded5016809e48fa105c,At Risk,565,1,146.39,17.36,6.0,1.0
9646af42a69659e9c6171512d63a0dc7,At Risk,426,1,39.9,11.73,1.0,1.0
9645d96362e0503554b30d8e71d47a73,At Risk,485,1,109.9,14.94,18.0,1.0
015ba10edbe7988bff82867b4480c225,At Risk,425,1,248.0,13.24,7.0,1.0
0158b70c1d28da409abddfcaa5f0801a,At Risk,489,1,59.9,17.16,25.0,1.0
015557c9912277312b9073947804a7ba,Champions,485,2,289.9,12.61,12.5,1.0
015366a7c13024e36f1f125d8f9a9e67,At Risk,526,1,177.0,15.41,9.0,1.0
0151b5ff5b5d642815f094f303e7052a,At Risk,510,1,35.0,14.52,12.0,1.0
014fa2f37ee690774a7505252a28daf3,At Risk,525,1,24.9,14.52,6.0,1.0
017adfe7897c78902d9f7d58cd855990,At Risk,379,1,239.9,26.96,30.0,1.0
0176190d05dbc46f20484610a0a0e1fb,At Risk,488,1,289.9,15.8,11.0,1.0
0130be8e6677174b8184114f98c16b3c,At Risk,503,1,99.99,19.4,19.0,1.0
ff822e5e1322cef6c211ad8a0591999e,At Risk,689,1,15.9,14.52,19.0,1.0
c09217739fe44aead63c4443b5264f9d,At Risk,450,1,205.99,51.31,14.0,1.0
c08d2d6237e1d95d5189b9060e2e12c9,At Risk,535,1,79.99,13.14,8.0,1.0
016feebfaba953a2456d3a063b8eb8ef,At Risk,562,1,49.9,12.93,8.0,1.0
016e32e564ee03416c6f73e44a4e802a,At Risk,534,1,69.9,15.7,7.0,1.0
016c60628fc64e15fa5990e58a0b57c1,At Risk,405,1,229.74,24.936666666666667,5.0,1.0
016a461e59c71a989c278fb565441696,At Risk,385,1,200.0,22.24,9.0,1.0
016846e2dd862cba9a2a10eff5ac244f,At Risk,473,1,399.98,37.49,5.0,1.0
015fcc1fe9d3319fb41b08e986684598,At Risk,431,1,269.99,47.36,9.0,1.0
018ad5828f8f66b69604caabd0aa78ca,At Risk,541,1,19.9,8.72,4.0,1.0
0189cca3aa2a0f75ca0cde94ee38be57,At Risk,449,1,84.99,15.34,13.0,1.0
0189955e61056a22dd6e7cb03603a149,At Risk,446,1,94.9,16.91,12.0,1.0
018974568b0b5a8c395465dee270c3a9,At Risk,399,1,34.99,7.78,2.0,1.0
018875156db79cf3fb697342f256c329,At Risk,418,1,45.0,11.85,5.0,1.0
01838e7d69d87bd8ff2b6ff06789adfb,At Risk,584,1,126.9,32.21,18.0,1.0
019322e670d197f31413176b865880fd,At Risk,428,1,18.99,7.78,1.0,1.0
c0809c9e757929e7cf0a1af098fcb1f6,At Risk,567,1,119.69999999999999,22.28,15.0,1.0
c07c1558a5eca23b74513a4d04ed2d5b,At Risk,494,1,49.0,10.96,13.0,1.0
c07a76a84540a343ff9d63db21c19b5a,At Risk,464,1,135.0,18.2,10.0,1.0
c0779cfb3d6695eb9a6c14772852e10e,Champions,556,2,133.98,17.21,10.0,1.0
c076c0b4b9d8535876be36a3314d19ad,At Risk,462,1,272.25,15.51,16.0,1.0
c07618bfaa04fc9fa7aabffee599757d,At Risk,396,1,217.89,14.33,4.0,1.0
c09a451cbf37a98dd35bb88cd87deda4,At Risk,497,1,278.77,17.16,26.0,1.0
c0955a0a7cd0cbaf66ee32b50d136132,At Risk,479,1,47.9,25.63,22.0,1.0
c094ac95fcd52f821809ec232a7a6956,At Risk,557,1,133.99,23.2,13.0,1.0
964392938ff1dee545febfe2ba106e4f,At Risk,470,1,447.0,19.84,16.0,1.0
9642e3a3287af4d3afc3aa04e95cc0c7,At Risk,458,1,159.9,14.14,4.0,1.0
9641f1cf48626e09ff0d94f3029b55bf,At Risk,379,1,39.9,14.1,13.0,1.0
963c6b493b91cdf21df85e3b4bfb741d,At Risk,446,1,16.99,15.1,14.0,1.0
95a7a31069dc4300022f82c5fb893218,At Risk,392,1,24.9,17.92,23.0,1.0
cf78d4901c0523539f34aba755d0b7e9,At Risk,433,1,119.8,17.13,11.0,1.0
cf721f942ddf3f441d8226f871c10a36,At Risk,473,1,39.9,15.79,12.0,1.0
cf718c153cbece145b8b0c2e70ea76bc,At Risk,378,1,134.99,15.7,6.0,1.0
cf71400ad4dc7b8ae75143ff39dc94bc,At Risk,427,1,49.9,34.15,20.0,1.0
cf6e43279e51aaedf0f39337b5375c71,At Risk,390,1,39.9,15.1,8.0,1.0
cf6a1ea461030ba73f06fdcd156269fa,At Risk,426,1,65.0,15.2,12.0,1.0
95d1b6f4b2e08c6a3cd29384d97b55f2,At Risk,548,1,135.9,14.72,3.0,1.0
95d06f61e0faf171d4c0cdb73a066027,At Risk,516,1,59.0,14.18,13.0,1.0
ff5b57c3e15d16c77e4dde1ff66dab33,At Risk,431,1,34.9,18.59,16.0,1.0
ff580ab4901e3619925a27db44eec095,At Risk,505,1,39.9,17.78,28.0,1.0
ff57311a2fb5f9aa3477cc13c1c62a50,At Risk,516,1,26.99,15.65,13.0,1.0
0181f57a87c6a2f0e0fe2807f67aef0e,At Risk,475,1,13.99,15.11,7.0,1.0
017fde295de136549d89d951da362287,At Risk,411,1,27.8,16.11,7.0,1.0
017d9afa17ebea3b2a7c03ed6bc954be,At Risk,410,1,29.0,8.72,6.0,1.0
019e6c1c524669436535388a1cd5cefd,At Risk,398,1,369.9,16.34,11.0,1.0
019d47513bb1164cc83fc2d6d7123ef8,At Risk,564,1,175.9,32.26,20.0,1.0
019cd54cc450bdfb2de3e83dced0c511,At Risk,392,1,205.0,18.14,8.0,1.0
0199360d5869b53eece5870f3bd1ef0e,High Value,465,1,740.0,18.93,4.0,1.0
01a3427def071b9efaf74a817c4e023b,At Risk,461,1,16.5,15.1,14.0,1.0
01a20270c305052404127be803843f2f,At Risk,451,1,149.0,13.25,8.0,1.0
01a0f3dc3a406f7fc8593565e1a50b4f,At Risk,402,1,18.9,11.85,11.0,1.0
01a013f2d3d7b0fa074a09d3e6e7b611,At Risk,502,1,289.9,12.64,5.0,1.0
019f29cee4d4031f59fed390d3cd0bc7,At Risk,423,1,74.9,17.77,5.0,1.0
01d0f02781924f788fd9d0521663fae0,At Risk,436,1,39.9,8.72,3.0,1.0
01cf555dad51551a56a1bdc9fbf2acd6,At Risk,468,1,101.0,16.15,8.0,1.0
01c15633aa5baf9c6d2685354fd82747,At Risk,414,1,89.9,15.38,15.0,1.0
018b0a8d048e41f2d1f55e56dcbd335c,At Risk,400,1,179.9,12.76,13.0,1.0
ff68ad2883e793597f1c343dd6505f5d,At Risk,692,1,499.8,17.59,32.0,1.0
ff670905acf82a00cb1d2a4a3019543f,At Risk,434,1,59.9,14.13,5.0,1.0
ff64dc057067aecad9bf2c94b272e90a,At Risk,524,1,168.99,12.57,8.0,1.0
ff6275fe63f74d9a63ce29460d90dfac,At Risk,493,1,84.99,11.97,8.0,1.0
ff5f29fbfd0a13f7e7ed9f7b92a32194,At Risk,398,1,379.6,15.415000000000001,7.0,1.0
ff5d0b841838e762e18145556c73bf01,At Risk,520,1,49.0,10.96,10.0,1.0
c082576c9ffa606f3ac234b44e7ccbf7,At Risk,447,1,25.99,14.1,27.0,1.0
01be09e08ce97be4356a7c93bda4ee70,At Risk,468,1,39.0,16.11,15.0,1.0
01b7463b1d6850a0ddfb4a93e05d0671,At Risk,468,1,103.97,25.04,7.0,1.0
01b531d9fa14ce8894156d72f7ee8b92,At Risk,385,1,106.9,11.95,7.0,1.0
01ecc1f1f21f05d0736c99d92646f132,At Risk,383,1,49.9,15.1,10.0,1.0
01ec66cacd4c45d04f9ee2a1c25bb20b,At Risk,545,1,68.0,11.09,6.0,1.0
01e8bcc3377762cf85025138b2901947,At Risk,496,1,189.89,15.875,13.0,1.0
01e80828765c999c3f5a7713f3912309,At Risk,463,1,28.28,16.11,7.0,1.0
01e0008efc8b3804e274ff934ba017c9,At Risk,549,1,69.9,11.88,8.0,1.0
01d8df79b0fe245a03928d53fc25c223,At Risk,386,1,119.35,18.09,3.0,1.0
01b0d417af24703a0b20cbe71f354285,At Risk,556,1,64.9,26.71,23.0,1.0
01a8a2fa13dad647949ff57927e63b0d,At Risk,516,1,42.99,10.96,4.0,1.0
9590bf3ae28a0847507733e5424c83ce,At Risk,422,1,99.9,17.95,15.0,1.0
958e6903e126a1ac13024be47339f857,At Risk,378,1,59.9,48.95,12.0,1.0
958df1746c3131f9c7359ae5fb848497,At Risk,690,1,161.55,15.3,20.0,1.0
